קוד פנימי,פריט,שם פריט,מחלקה,שם קבוצה,שם ספק,שם יצרן,שם צבע,מידה,שם יובש,שונות,תאריך הקמה,ת. העברה לארכיון,ת. יציאה מארכיוןמחיר מחירון 1,,יתרת מלאי,נמכר באילת לפי ת.ז,אחריות
4004,7290019462835,שאטו רמו  7 ספישל רזרב,1,יין אדום יבש,שאטו רמו,,אדום,750,יבש,2017,02/04/2025,,,300,,לא,
3773,7290019462866,שאטו רמו  375 מ"ל גרנד בלנד 2019,1,יין אדום יבש,שאטו רמו,,אדום,375,יבש,2019,09/04/2024,,,59,,לא,
3883,7290019462927,שאטו רמו  רזרב קברנה סוביניון 2020,1,יין אדום יבש,שאטו רמו,,אדום,750,יבש,2020,15/10/2024,,,155,,לא,
234,7290019488149,הר אודם  רזרב מרלו,1,יין אדום יבש,אשכול - מוקי וינשטוק,,אדום,750,יבש,2021,20/01/2014,,25/06/2025,120,41,לא,
2610,7290019488248,הר אודם  יער אודם לבן 2023,1,יין לבן יבש,הר אודם,,לבן,750,יבש,2023,09/08/2018,16/09/2024,30/01/2024,75,,כן,
3790,7290019488446,הר אודם  וולקני גמאי קברנה 2023,1,יין אדום יבש,הר אודם,,אדום,750,יבש,2023,03/05/2024,12/08/2025,,79,,כן,
2611,7290019488507,הר אודם  יער אודם 2024,1,יין אדום יבש,הר אודם,,אדום,750,יבש,2024,09/08/2018,,26/02/2025,75,16,כן,
3764,7290019512691,רקנאטי  ביתוני 2022,1,יין אדום יבש,היכל היין שקד גולן,,אדום,750,יבש,2022,07/04/2024,11/11/2024,,110,,לא,
4113,7290019536048,תושיה תירוש טבעי אורגני,,,,,,750,,,04/12/2025,,,50,,לא,
4115,7290019536049,תושיה עסיס בסגנון פורט 2023,1,,,,אדום,500,מתוק,2023,04/12/2025,,,180,,לא,
3410,7290019556640,האגם הצפוני קברנה סוביניון וסירה 2020,1,יין אדום יבש,גפנים בוגרות,,אדום,750,יבש,2020,26/05/2022,,27/07/2025,115,7,כן,
3610,7290019697008,פלם  קברנה סוביניון רזרב 2021,1,יין אדום יבש,האחים פלם - הגפן,,אדום,750,יבש,2021,23/05/2023,16/09/2024,,190,,כן,
3611,7290019697015,פלם  מגנום קברנה סוביניון 2021,1,יין אדום יבש,האחים פלם - הגפן,,אדום,1500,יבש,2021,23/05/2023,,,400,1,לא,
3644,7290019697022,פלם  קברנה סוביניון רזרבה דאבל מגנום 2021,1,יין אדום יבש,האחים פלם - הגפן,,אדום,3000,יבש,2021,06/08/2023,,,900,,כן,
3919,7290019697107,פלם  נובל 2021,1,יין אדום יבש,האחים פלם - הגפן,,אדום,750,יבש,2021,12/12/2024,,,360,4,לא,
4057,7290019697114,פלם נובל 2021 מגנום,1,יין אדום יבש,האחים פלם - הגפן,,אדום,1500,יבש,2021,28/08/2025,,,820,3,לא,
2853,7290019697138,פלם  קמליה לבן רזרב 2023,1,יין לבן יבש,האחים פלם - הגפן,,לבן,750,יבש,2023,27/06/2019,,06/06/2024,165,,כן,
4035,7290019697169,פלם  קברנה סוביניון רזרב 2023,1,יין אדום יבש,האחים פלם - הגפן,,אדום,750,יבש,2023,06/07/2025,,,195,4,לא,
4058,7290019697688,פלם נובל 2022,1,יין אדום יבש,האחים פלם - הגפן,,אדום,750,יבש,2022,28/08/2025,,,360,,לא,
3584,7290019735007,נבו  קיץ 2020,1,יין אדום יבש,נבו,,אדום,750,יבש,2020,07/03/2023,12/08/2025,,105,,כן,
4111,7290020284044,יזרעאל  שנין בלאן 2024,1,יין לבן יבש,היכל היין שקד גולן,,לבן,750,יבש,2024,04/12/2025,,,100,12,לא,
4110,7290020284334,יזרעאל  נהלל לבן 2024,1,יין לבן יבש,היכל היין שקד גולן,,לבן,750,יבש,2024,04/12/2025,,,79,12,לא,
3731,7290020284389,יזרעאל  גוורצטרמינר 2024,1,יין חצי יבש,היכל היין שקד גולן,,לבן,750,יבש,2024,21/02/2024,,,89,,כן,
2210,7290020284488,יזרעאל  קריניאן 2023,1,יין אדום יבש,היכל היין שקד גולן,,אדום,750,יבש,2023,03/02/2017,,04/12/2025,135,10,כן,
3957,7290020285140,טפרברג  אסנס ברברה 2023,1,יין אדום יבש,טפרברג,,אדום,750,יבש,2023,11/02/2025,,,105,1,לא,
4021,7290020299147,אחיה טנא  שיראז 2023,1,יין אדום יבש,אחיה,,אדום,750,יבש,2023,13/05/2025,,,130,9,לא,
4032,7290020299246,אחיה  טנא גוורצטרמינר 2024,1,יין חצי יבש,אחיה,,לבן,750,חצי יבש,2024,10/06/2025,,,75,23,כן,
4108,7290020319050,פינטו מלבק 2024,1,,ירוחם אגרו -תעשיות,,אדום,750,יבש,2024,02/12/2025,,,89,-1,לא,
3991,7290020336019,בן פורת  שהם אדום 2024,1,יין אדום יבש,עמית יבוא ושיווק משקאות,,אדום,750,יבש,2024,25/03/2025,,,100,4,לא,
3992,7290020336057,בן פורת  יסוד אדום 2023,1,יין אדום יבש,עמית יבוא ושיווק משקאות,,אדום,750,יבש,2023,25/03/2025,,,135,,לא,
300,7290051687968,FLOWERS  קברנה סוביניון,1,יין אדום יבש,פיופ,,,,,,20/01/2014,30/11/2015,,38,,לא,
301,7290051688026,FLOWERS  מרלו,1,יין אדום יבש,פיופ,,,,,,20/01/2014,30/11/2015,,38,,לא,
2189,7290100940143,אבידן  תג לבן,1,יין לבן יבש,היכל היין שקד גולן,,לבן,750,יבש,2015,15/12/2016,18/09/2019,,65,,לא,
2134,7290100940204,אבידן  נביולו,1,יין חצי יבש,,,אדום,750,חצי יבש,2013,25/08/2016,18/09/2019,,90,,לא,
2396,7290100940389,דרך ארץ  שיראז,1,יין אדום יבש,,,,,,,09/11/2017,26/11/2020,,,,לא,
2120,7290100941577,אבידן  תג אדום,1,יין אדום יבש,היכל היין שקד גולן,,אדום,750,יבש,2015,19/07/2016,18/09/2019,,65,,לא,
1813,7290100946732,טריו  ספיריט ירושלים,1,יין אדום יבש,היכל היין שקד גולן,,אדום,750,יבש,2012,01/06/2015,10/02/2019,,90,,לא,
3196,7290101580089,בנימינה  יוגב  קברנה סוביניון,1,יין אדום יבש,בנימינה,,אדום,750,יבש,2020,10/06/2021,02/02/2022,,39,,לא,
2192,7290101580287,בנימינה  קינוח גוורצטרמינר,1,יין קינוח,בנימינה,,לבן,375,מתוק,2015,23/12/2016,25/02/2020,,65,,לא,
620,7290101580515,בנימינה - אודם,1,יין אדום,בנימינה,,,,,,16/09/2014,08/02/2019,,90,,לא,
618,7290101580539,בנימינה - תרשיש,1,יין אדום,בנימינה,,,,,,16/09/2014,08/02/2019,,90,,לא,
303,7290101580645,בנימינה  רזרב מרסלן,1,יין אדום יבש,בנימינה,,אדום,750,יבש,2013,20/01/2014,08/02/2019,,57,,לא,
304,7290101580751,בנימינה  רזרב מרלו,1,יין אדום,בנימינה,,,,,,20/01/2014,08/02/2019,,57,,לא,
2149,7290101580881,המערה 2008,1,יין אדום יבש,,,אדום,750,יבש,2008,20/09/2016,23/03/2022,,320,,לא,
481,7290101581055,עראק הנמל,14,,בנימינה,,,,,,13/03/2014,23/03/2022,,65,,לא,
2631,7290101581208,בנימינה  רזרב קברנה סוביניון,1,יין אדום יבש,בנימינה,,אדום,750,יבש,2016,16/09/2018,16/09/2024,,59,,לא,
2083,7290101581239,בנימינה  רזרב זינפנדל,1,יין אדום יבש,בנימינה,,אדום,750,יבש,2011,17/05/2016,08/02/2019,,57,,לא,
2190,7290101581406,בנימינה  בין שיראז,1,יין אדום יבש,,,אדום,750,יבש,2015,15/12/2016,08/02/2019,,23,,לא,
2356,7290101581604,בנימינה  אבני החושן אודם 2020,1,,,,,,,2020,02/10/2017,11/11/2024,,99,,לא,
619,7290101581628,בנימינה - יהלום,1,יין אדום יבש,בנימינה,,אדום,750,יבש,2016,16/09/2014,07/11/2023,,89,,כן,
617,7290101581635,בנימינה  אבני החושן ספיר 2020/2021,1,יין אדום יבש,בנימינה,,אדום,750,יבש,2021,16/09/2014,11/11/2024,10/06/2021,89,,כן,
305,7290101581666,בנימינה  רזרב רוסאן,1,יין לבן יבש,בנימינה,,לבן,750,יבש,,20/01/2014,08/02/2019,,57,,לא,
302,7290101581673,בנימינה  רזרב ק. סוביניון,1,יין אדום יבש,בנימינה,,אדום,750,יבש,2010,20/01/2014,08/02/2019,,57,,כן,
656,7290101581710,בנימינה  רזרב שיראז 2021,1,יין אדום יבש,בנימינה,,אדום,750,יבש,2021,27/11/2014,11/11/2024,28/03/2024,59,,כן,
2579,7290101581734,בנימינה  רזרב מרלו 2021,1,יין אדום יבש,בנימינה,,אדום,750,יבש,2021,12/06/2018,02/02/2022,,59,,כן,
2357,7290101581796,המערה  750 2016,1,יין אדום יבש,,,,,,,02/10/2017,23/03/2022,,,,לא,
